,OMIM:191600,OMIM:246470,OMIM:603641,OMIM:109400,OMIM:109800,OMIM:114480,OMIM:114500,OMIM:114550,OMIM:120435,OMIM:133239,OMIM:137215,OMIM:144700,OMIM:148500,OMIM:150800,OMIM:155240,OMIM:158320,OMIM:167000,OMIM:171400,OMIM:176807,OMIM:188470,OMIM:188550,OMIM:202300,OMIM:211980,OMIM:260350,OMIM:260500,OMIM:273300,OMIM:275355,OMIM:276300,OMIM:300854,OMIM:312300,OMIM:601228,OMIM:601518,OMIM:603688,OMIM:603956,OMIM:604370,OMIM:605074,OMIM:606719,OMIM:608089,OMIM:608266,OMIM:608615,OMIM:609310,OMIM:610644,OMIM:612229,OMIM:612555,OMIM:612591,OMIM:613244,OMIM:613347,OMIM:613659,OMIM:614331,OMIM:614337,OMIM:614350,OMIM:614385,OMIM:614456,OMIM:614564,OMIM:615083
OMIM:150800,0.669137752,2.292071657,0.97350547,2.697652856,3.388665677,1.68348338,3.626386557,2.159260317,2.662437262,1.378585724,1.123330657,2.889588432,1.525023531,3.877341477,1.521024194,2.656562039,3.164913839,1.645284445,2.310686194,1.495702398,1.521024194,1.521024194,1.521024194,1.741587682,1.08404539,2.889111159,2.129088495,2.694078921,2.889588432,1.917972746,0.672085874,2.322159067,1.953397778,0.937264536,1.68348338,3.068754186,2.542422466,3.320428828,1.182969279,1.606434402,2.662437262,1.413513075,2.662437262,1.68348338,3.195438383,2.788015905,1.741587682,2.538964702,2.788015905,3.356786503,3.221066706,2.788015905,2.491381074,1.119943277,2.82222528
OMIM:155240,0,1.521024194,1.521024194,1.521024194,1.973879196,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.462132676,1.521024194,1.521024194,1.521024194,4.045514656,1.521024194,1.521024194,4.045514656,0,3.90688522,3.90688522,3.144782414,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,3.814978754,1.521024194,2.195810947,0,1.462132676,1.521024194,1.462132676,1.68348338,1.521024194,1.625308645,1.521024194,3.144782414,1.521024194,1.521024194,0,1.521024194,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.663852874,1.521024194,1.521024194
OMIM:158320,0.669137752,2.969947184,1.385169799,3.221151899,3.388665677,3.416784266,3.755248181,2.508626864,3.191776674,2.04602605,1.950963521,2.889588432,2.234356318,2.656562039,1.521024194,4.314848453,3.788387525,1.835663655,2.310686194,1.382749267,1.521024194,1.521024194,3.597173338,1.741587682,1.269377101,2.862741582,2.129088495,2.883976608,2.889588432,2.049887588,0.672085874,2.322159067,1.953397778,1.218443897,3.416784266,3.068754186,2.478557238,3.320428828,1.269377101,2.224527417,3.191776674,1.193158098,3.191776674,3.416784266,3.464557627,3.442207308,1.741587682,2.969587986,3.442207308,3.766668115,3.587413891,3.442207308,2.491381074,1.661583129,3.265480504
OMIM:167000,0.912460571,1.813917974,1.388103041,3.555795543,3.180958782,3.416784266,3.108437274,1.444579607,1.388103041,1.388103041,1.329211523,2.562154234,1.388103041,3.164913839,1.521024194,3.788387525,4.201627894,1.87039454,2.310686194,1.495702398,1.521024194,1.521024194,1.521024194,1.388103041,1.388103041,3.263811159,1.442985754,3.315669102,2.562154234,3.411174926,0,2.322159067,2.232405298,1.329211523,3.416784266,2.720287963,1.625308645,3.108437274,1.444579607,1.388103041,1.388103041,0,1.388103041,3.416784266,3.108437274,1.388103041,1.388103041,1.388103041,1.388103041,3.315669102,3.108437274,1.388103041,1.663852874,1.860821465,1.388103041
OMIM:171400,0.669137752,1.943266187,1.290369183,1.545630957,2.122576474,1.68348338,2.147488007,1.809410172,2.256323243,0.931500242,0.920107118,1.971919476,1.079910334,1.645284445,4.045514656,1.835663655,1.87039454,4.135981979,1.204447954,3.664666967,3.90688522,3.52933996,1.521024194,1.741587682,1.321752938,1.774472754,1.767603711,2.475797101,1.971919476,1.33807834,0.672085874,1.316487939,1.686377872,0.58485307,1.68348338,2.020482089,2.032203352,1.755583605,3.260226502,1.3448303,2.256323243,1.009922531,2.256323243,1.68348338,2.135899632,2.254780718,1.741587682,2.030091764,2.254780718,2.057184252,2.046141676,2.254780718,1.916333507,0.719238014,2.365798697
OMIM:176807,1.204447954,1.204447954,0,2.337980173,1.204447954,0,2.310686194,0,0,0,0,1.204447954,0,2.310686194,0,2.310686194,2.310686194,1.204447954,3.712231263,0,0,0,0,0,0,2.337980173,0,2.310686194,1.204447954,3.341961246,0,3.712231263,3.712231263,0,0,1.204447954,0,2.310686194,0,0,0,0,0,0,2.310686194,0,0,0,0,2.310686194,2.310686194,0,0,0,0
OMIM:188470,0,1.382749267,1.382749267,1.382749267,1.973879196,1.68348338,1.382749267,1.495702398,1.382749267,1.382749267,1.329211523,1.382749267,1.382749267,1.495702398,3.90688522,1.382749267,1.495702398,3.664666967,0,3.890567571,3.90688522,3.144782414,1.521024194,1.382749267,1.382749267,1.495702398,1.442985754,3.468162503,1.382749267,1.99619177,0,1.329211523,1.382749267,1.329211523,1.68348338,1.480409397,1.625308645,1.382749267,2.971846234,1.382749267,1.382749267,0,1.382749267,1.68348338,1.382749267,1.382749267,1.382749267,1.382749267,1.382749267,1.382749267,1.382749267,1.382749267,1.663852874,1.382749267,1.382749267
OMIM:188550,0,1.521024194,1.521024194,1.521024194,1.973879196,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.462132676,1.521024194,1.521024194,1.521024194,3.90688522,1.521024194,1.521024194,3.90688522,0,3.90688522,3.994432093,3.144782414,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,3.814978754,1.521024194,2.195810947,0,1.462132676,1.521024194,1.462132676,1.68348338,1.521024194,1.625308645,1.521024194,3.144782414,1.521024194,1.521024194,0,1.521024194,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.663852874,1.521024194,1.521024194
OMIM:202300,0,1.521024194,1.521024194,1.521024194,1.973879196,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.462132676,1.521024194,1.521024194,1.521024194,3.144782414,1.521024194,1.521024194,3.52933996,0,3.144782414,3.144782414,4.186876521,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,3.144782414,1.521024194,2.195810947,0,1.462132676,1.521024194,1.462132676,1.68348338,1.521024194,1.625308645,1.521024194,3.144782414,1.521024194,1.521024194,0,1.521024194,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.663852874,1.521024194,1.521024194
OMIM:211980,0,1.521024194,1.521024194,2.115490594,1.973879196,1.68348338,1.521024194,1.521024194,1.521024194,2.102105491,1.462132676,1.521024194,2.102105491,1.521024194,1.521024194,3.597173338,1.521024194,1.521024194,0,1.521024194,1.521024194,1.521024194,3.94659598,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,0,1.462132676,1.521024194,1.462132676,1.68348338,1.521024194,1.625308645,1.521024194,1.521024194,1.521024194,1.521024194,0,1.521024194,1.68348338,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.521024194,1.663852874,1.521024194,1.521024194
